address,lat,lon
"Desa ParkCity, Kuala Lumpur",3.186244,101.6299321
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Jalan Tun Ismail, KL City, Kuala Lumpur",3.1617156,101.6908213
"Jalan Tasik Permaisuri 3, Cheras, Kuala Lumpur",3.0968517,101.7149689
"Jalan Tun Ismail, KL City, Kuala Lumpur",3.1617156,101.6908213
"Desa ParkCity, Kuala Lumpur",3.186244,101.6299321
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Sri Damansara, Kuala Lumpur",3.194485,101.6151772
"Sri Damansara, Kuala Lumpur",3.194485,101.6151772
"Desa ParkCity, Kuala Lumpur",3.186244,101.6299321
"Desa ParkCity, Kuala Lumpur",3.186244,101.6299321
"Sri Damansara, Kuala Lumpur",3.194485,101.6151772
"Kepong, Kuala Lumpur",3.213966,101.6355931
"Taman Shamelin, Kuala Lumpur",3.123609,101.7375401
"Pandan Indah, Kuala Lumpur",3.133892,101.7516751
"Ampang, Kuala Lumpur",3.16648,101.7483451
"Setapak, Kuala Lumpur",3.2790527,101.7409946
"Sungai Besi, Kuala Lumpur",3.057444,101.71787
"Sungai Besi, Kuala Lumpur",3.057444,101.71787
"Mid Valley City, Kuala Lumpur",3.117196,101.678054
"Sungai Besi, Kuala Lumpur",3.057444,101.71787
"Cheras, Kuala Lumpur",3.1068447,101.7259197
"Seputeh, Kuala Lumpur",3.115004,101.679651
"Taman Desa, Kuala Lumpur",3.102996,101.684501
"Taman Desa, Kuala Lumpur",3.102996,101.684501
"Razak City Lebuhraya Sungai Besi BESRAYA, Sungai Besi, Kuala Lumpur",3.1170981,101.7071213
"Razak City Lebuhraya Sungai Besi BESRAYA, Sungai Besi, Kuala Lumpur",3.1170981,101.7071213
"Jaln 2/108d Off Lebuhraya Sungai Besi, Taman Sungai Besi, Sungai Besi, Kuala Lumpur",3.0965316,101.7008425
"Jaln 2/108d Off Lebuhraya Sungai Besi, Taman Sungai Besi, Sungai Besi, Kuala Lumpur",3.0965316,101.7008425
"Jaln 2/108d Off Lebuhraya Sungai Besi, Taman Sungai Besi, Sungai Besi, Kuala Lumpur",3.0965316,101.7008425
"Jalan Melawati 5, Taman Melawati, Kuala Lumpur",3.2153977,101.7527064
"Jalan Sentul Pasar Off Jalan Dato Senu 3, Sentul, Kuala Lumpur",3.1967084,101.6932136
"Jalan Dato Senu 26, Taman Sentul Utama, Sentul, Kuala Lumpur",3.1961956,101.6965328
"Jalan Kukuban 2, Setapak, Kuala Lumpur",3.2041986,101.7108899
"Jalan Pipit, Bandar Puchong Jaya, Puchong, Kuala Lumpur",3.0650867,101.6239864
"Bukit Jalil, Kuala Lumpur",3.0586745,101.6917068
"Jalan Ampang, Ampang Hilir, Kuala Lumpur",3.1598441,101.7433232
"Jalan Tun Razak, Titiwangsa, Kuala Lumpur",3.1639212,101.7160724
